,OPX_001,OPX_002,OPX_019,OPX_032,OPX_033,OPX_034,OPX_038,OPX_043,OPX_066,OPX_069,OPX_078,OPX_080,OPX_083,OPX_100,OPX_105,OPX_118,OPX_125,OPX_129,OPX_135,OPX_137,OPX_140,OPX_147,OPX_153,OPX_156,OPX_167,OPX_172,OPX_176,OPX_178,OPX_191,OPX_195,OPX_198,OPX_200,OPX_206,OPX_207,OPX_216,OPX_221,OPX_223,OPX_227,OPX_239,OPX_240,OPX_242,OPX_247,OPX_249,OPX_254,OPX_263,OPX_267,OPX_268,OPX_271,OPX_272,OPX_278,OPX_281,OPX_288,OPX_293,OPX_296,OPX_302,OPX_306,OPX_311,OPX_326,OPX_328_1,OPX_328_2,OPX_331,OPX_335,OPX_336,OPX_347,OPX_348,OPX_355,OPX_357
OPX_001,1.0000095,0.25628322,0.21143629,0.26558256,0.30668247,0.24519145,0.24986845,0.27419302,0.23015122,0.21268886,0.3263536,0.2945274,0.28048134,0.2925064,0.8332725,0.2836942,0.30092633,0.2914462,0.27464142,0.24498118,0.24644819,0.25756514,0.22158563,0.28792903,0.29323766,0.24263145,0.28770667,0.25071123,0.29326206,0.23445512,0.28433955,0.30183488,0.2772526,0.3176291,0.26291358,0.2756283,0.25557607,0.27584636,0.21309331,0.269916,0.21304038,0.15612291,0.23011127,0.27607015,0.31076205,0.2005586,0.23169447,0.33915538,0.19663611,0.25525585,0.21714039,0.26715082,0.2317125,0.30315492,0.20611931,0.3114242,0.3082501,0.25215417,0.26489764,0.29144633,0.28133854,0.36348727,0.28391212,0.34676412,0.29179817,0.16717112,0.24000718
OPX_002,0.25628322,1.0000156,0.35356104,0.39957565,0.39347592,0.6036759,0.6942334,0.4248626,0.588287,0.3958161,0.29532105,0.76510894,0.37072286,0.6853669,0.30823535,0.67478454,0.58472264,0.7172508,0.33853996,0.6396612,0.51879895,0.7454641,0.35349673,0.47512704,0.35790172,0.6341027,0.26817977,0.46384817,0.65357244,0.8033901,0.7552716,0.4829746,0.33005163,0.4398689,0.7926936,0.5597143,0.4341243,0.42896998,0.5800835,0.3580755,0.74244034,0.6105748,0.41230905,0.667415,0.72047603,0.23373814,0.713181,0.45511574,0.32281274,0.66474354,0.67515737,0.45872486,0.62404954,0.47250015,0.37712577,0.5094917,0.8118791,0.44257098,0.7572923,0.780626,0.32779127,0.5461937,0.42236513,0.49497557,0.49656096,0.32344276,0.6232204
OPX_019,0.21143629,0.35356104,1.0047472,0.46429405,0.27723542,0.3895749,0.38909665,0.46609318,0.33267722,0.6860769,0.23987266,0.32234967,0.37067986,0.5188815,0.27300316,0.43798125,0.3575278,0.5234648,0.26066658,0.43728143,0.2856474,0.37611747,0.8600057,0.28754976,0.35716492,0.29839337,0.26260072,0.24966991,0.38764256,0.36793286,0.39126372,0.34345764,0.30259496,0.60458726,0.4001205,0.31203723,0.8777623,0.53091985,0.3773377,0.323814,0.33704254,0.24329282,0.25669467,0.4041964,0.49477163,0.21617718,0.34015518,0.30308044,0.6713489,0.3754839,0.37954074,0.8548201,0.4919716,0.25679305,0.38302362,0.3305809,0.41479802,0.85986817,0.40205252,0.41617438,0.34085956,0.48204988,0.26997355,0.35152054,0.2429122,0.22664905,0.38428572
OPX_032,0.26558256,0.39957565,0.46429405,1.0016574,0.37894917,0.32781312,0.36972785,0.43231097,0.2638852,0.34923398,0.4175762,0.4023494,0.5135659,0.44182363,0.2988308,0.42579675,0.36856294,0.4595443,0.24875319,0.30744457,0.3048547,0.37233144,0.48028556,0.27989575,0.4329758,0.2431066,0.3233357,0.23071837,0.44147852,0.3588823,0.43480143,0.36748666,0.34639302,0.48884273,0.34924203,0.3317412,0.50891006,0.43192384,0.36992565,0.746249,0.27412245,0.17427768,0.2791697,0.4917384,0.4820159,0.2401976,0.35068437,0.37670684,0.39796174,0.58215994,0.47329134,0.4828332,0.35314035,0.2995365,0.4624373,0.34856582,0.5366339,0.42772895,0.3177338,0.3386324,0.32762134,0.5615347,0.30005527,0.3610304,0.28045297,0.36704487,0.4112726
OPX_033,0.30668247,0.39347592,0.27723542,0.37894917,1.0000306,0.3017249,0.423492,0.47477686,0.34164298,0.2864804,0.31669292,0.55131763,0.49883625,0.43869725,0.39878795,0.3899827,0.51952296,0.45869803,0.61767864,0.32563874,0.56183046,0.31820917,0.26024932,0.597334,0.5361076,0.4343571,0.34041977,0.33241785,0.49101463,0.37949896,0.5200029,0.49395984,0.47631562,0.481835,0.39537936,0.6079067,0.31197566,0.4859154,0.3258766,0.5176702,0.3381232,0.30261123,0.33950442,0.49442512,0.42055723,0.2887345,0.37786257,0.62717235,0.28303105,0.40317485,0.4238959,0.30748326,0.332259,0.5065971,0.3031764,0.5140383,0.46439618,0.325008,0.3554729,0.38371015,0.5449896,0.4947219,0.43729374,0.4825455,0.5810751,0.45420265,0.31242174
OPX_034,0.24519145,0.6036759,0.3895749,0.32781312,0.3017249,1.0001146,0.71089524,0.29521558,0.47009057,0.29189253,0.17195556,0.5888317,0.30945423,0.73102295,0.28418005,0.8264946,0.39602482,0.77857983,0.26650226,0.528737,0.33349085,0.7707933,0.44013497,0.38232586,0.33045137,0.35705203,0.22308543,0.286866,0.5134111,0.6824681,0.6452483,0.36633265,0.22975424,0.41783077,0.7461478,0.38772374,0.47353488,0.38898164,0.77612585,0.31570745,0.6425357,0.46157682,0.3043739,0.5529069,0.78058857,0.13833994,0.76402134,0.29319754,0.22366814,0.74340993,0.53437495,0.45455375,0.73126936,0.2778998,0.31174147,0.29839465,0.6862496,0.44738883,0.6705862,0.757658,0.28124398,0.45628303,0.27090216,0.49869874,0.27452922,0.30978614,0.7549174
OPX_038,0.24986845,0.6942334,0.38909665,0.36972785,0.423492,0.71089524,1.0000494,0.41377905,0.67111564,0.39421344,0.22632772,0.7536415,0.31565666,0.8450854,0.4022957,0.8727901,0.6529509,0.74810195,0.38035256,0.7260272,0.59785026,0.8387097,0.32332924,0.5602635,0.39326358,0.5601164,0.2726441,0.58208776,0.6927115,0.84868836,0.82851243,0.55485684,0.32188705,0.44181228,0.8858844,0.6608812,0.42315862,0.44458994,0.7980358,0.4256829,0.8683052,0.74426967,0.48763883,0.7842181,0.81234616,0.2550815,0.8161216,0.4170552,0.3570792,0.76038843,0.7472141,0.40490168,0.8524475,0.42817497,0.42146754,0.5578319,0.77444136,0.39719105,0.78143835,0.8127611,0.3932711,0.5413618,0.53793955,0.68620104,0.46249884,0.46698225,0.8302437
OPX_043,0.27419302,0.4248626,0.46609318,0.43231097,0.47477686,0.29521558,0.41377905,1.0003657,0.39307162,0.4963751,0.41743308,0.5040279,0.4033589,0.44702592,0.3417261,0.43944055,0.43599927,0.48571682,0.37877408,0.44663948,0.4414878,0.3954919,0.40924302,0.4119907,0.52074444,0.46034324,0.28501105,0.3702616,0.41462103,0.4067944,0.4933368,0.39881003,0.46398523,0.50568336,0.43608606,0.46525443,0.4926499,0.5945224,0.37759188,0.50387764,0.3802243,0.37006113,0.34737152,0.43768108,0.4568556,0.26482493,0.3451904,0.42289448,0.5641662,0.39845386,0.39935577,0.45733306,0.37935418,0.38351148,0.4921357,0.46810395,0.48912805,0.48174727,0.36812958,0.39815316,0.41193122,0.50549793,0.37564704,0.4067397,0.42537257,0.3369633,0.39488146
OPX_066,0.23015122,0.588287,0.33267722,0.2638852,0.34164298,0.47009057,0.67111564,0.39307162,1.0000339,0.45995343,0.21472172,0.66586024,0.29903823,0.5752232,0.33302072,0.5993369,0.63585585,0.49696323,0.34044796,0.77229017,0.6064895,0.5480945,0.27417353,0.5465554,0.36233917,0.602955,0.23323734,0.66357267,0.47807524,0.66052437,0.60102946,0.38361734,0.3476755,0.32514536,0.6412281,0.57301307,0.34003037,0.45587194,0.50680643,0.32254753,0.70471334,0.7180745,0.47762203,0.6730755,0.5018186,0.16130388,0.53585565,0.36294687,0.35196006,0.4533777,0.5759096,0.36230385,0.60244,0.45961136,0.4043156,0.5643861,0.59865797,0.37781364,0.6798657,0.6866588,0.47026184,0.5425917,0.4670492,0.5446607,0.48139128,0.3928903,0.5535964
OPX_069,0.21268886,0.3958161,0.6860769,0.34923398,0.2864804,0.29189253,0.39421344,0.4963751,0.45995343,1.0017637,0.270291,0.37159505,0.36497453,0.4806775,0.2954139,0.3860808,0.495454,0.42166537,0.25153896,0.47955966,0.3601597,0.33597332,0.54803073,0.35662818,0.36000955,0.39452276,0.25446922,0.45434725,0.38669354,0.3851576,0.40248504,0.35906735,0.36995652,0.51469374,0.40243825,0.45327818,0.5645773,0.5755992,0.30998397,0.30822936,0.39754313,0.38188258,0.38739008,0.4431475,0.39774245,0.20658696,0.3276558,0.34515357,0.65515053,0.30480894,0.38180488,0.6121162,0.42044276,0.38176766,0.73460436,0.43608335,0.39363557,0.6382684,0.45301017,0.4219754,0.42836708,0.52071035,0.38593012,0.43560806,0.30199146,0.2800229,0.33317018
